Organization_Type,Job_Performance,Empowerment,Innovative_org_culture,Ethical_leadership,OCB,Perceived_org_goal_clarity,Diffficulty_of_work_life_balance,Training_opportunity,Org_commitment,Teamwork,Overall_job_satisfaction,Turnover_intention,Sex,Age,Education,Tenure
Public,10,10,10,30,20,15,8,15,15,10,5,No,Male,47,Graduate school,20
Public,10,9,10,30,15,11,6,12,15,8,5,No,Male,32,College,8
Public,6,5,4,14,14,9,7,12,12,6,4,No,Female,45,College,20
Public,7,7,6,26,15,12,7,11,11,7,3,No,Male,45,Graduate school,15
Public,6,4,4,16,11,9,6,9,9,6,3,No,Male,43,Graduate school,9
Public,8,5,5,26,18,8,5,9,15,10,5,No,Male,48,College,20
Public,10,8,8,23,18,15,8,12,15,8,4,No,Male,50,Graduate school,
Public,8,7,6,21,13,8,8,10,10,6,3,No,Male,40,College,11
Public,10,8,7,29,14,11,5,9,14,7,4,No,Male,49,College,22
Public,8,6,8,19,14,9,8,9,12,8,4,No,Male,35,College,9
Public,10,8,3,13,17,10,5,8,9,5,2,No,Male,33,College,8
Public,8,7,7,25,,7,7,10,10,8,5,No,Female,31,College,5
Public,9,7,7,13,13,9,8,9,12,6,3,No,Male,32,College,4
Public,6,6,8,23,16,12,8,9,12,8,3,No,Female,45,College,11
Public,7,6,6,21,17,12,6,7,15,6,3,No,Male,44,College,22
Public,8,9,8,15,17,10,5,,12,8,4,No,Male,40,College,13
Public,6,7,5,38,12,10,9,12,15,4,2,No,Male,45,College,100
Public,8,8,6,17,13,14,3,9,9,6,3,No,Male,30,High,4
Public,8,7,6,17,14,9,6,7,10,6,3,No,Male,39,College,12
Public,7,6,7,17,13,9,6,6,10,8,3,No,Male,42,College,15
Public,10,10,10,20,19,11,9,15,15,10,5,No,Female,44,High,25
Public,9,8,8,21,16,11,9,13,12,7,4,No,Male,34,College,6
Public,7,7,7,21,14,10,7,8,11,7,3,No,Male,34,College,3
Public,7,6,6,21,13,11,8,8,10,7,3,No,Male,39,College,15
Public,7,9,7,14,14,10,7,11,13,6,4,No,Female,47,College,25
Public,7,8,7,22,16,9,7,10,12,6,4,No,Male,43,College,20
Public,6,6,6,21,14,11,8,11,9,6,3,No,Female,33,College,5
Public,8,8,8,21,14,12,8,7,12,8,4,No,Female,27,College,4
Public,10,5,5,13,17,11,7,11,14,6,4,No,Female,49,College,28
Public,7,7,7,20,15,11,6,9,12,7,4,No,Male,44,College,13
Public,8,7,6,19,14,9,7,9,11,7,3,No,Female,31,College,5
Public,8,6,7,22,14,12,7,10,12,6,3,No,Male,33,College,10
Public,8,6,6,18,14,12,8,9,11,8,3,No,Female,42,College,18
Public,6,6,8,22,14,11,8,11,9,7,3,No,Male,35,College,10
Public,7,8,6,24,14,10,7,8,11,8,3,No,Male,33,College,4
Public,8,6,6,18,16,9,6,9,15,8,3,No,Female,41,High,20
Public,6,8,7,24,14,9,8,9,12,6,3,No,Male,42,College,19
Public,8,4,4,24,13,9,8,9,11,6,3,No,Male,29,College,3
Public,10,7,6,19,20,12,4,10,14,6,4,No,Male,42,College,13
Public,8,7,7,24,15,12,5,10,11,8,4,No,Male,46,Graduate school,19
Public,10,7,8,25,15,12,8,14,15,9,3,No,Male,43,College,16
Public,6,6,6,18,15,8,9,10,14,6,4,No,Female,43,College,16
Public,8,8,6,22,14,12,8,9,11,8,3,No,Female,27,College,5
Public,9,7,7,30,15,13,10,10,15,8,4,No,Male,54,High,15
Public,6,6,6,18,12,9,6,9,9,6,3,No,Female,46,College,20
Public,8,5,6,23,12,11,8,8,12,7,4,No,Female,29,College,6
Public,7,4,4,19,13,9,8,6,12,8,3,No,Male,45,College,10
Public,9,8,8,24,13,12,10,12,15,6,4,No,Male,33,College,6
Public,9,6,,27,18,13,8,10,14,8,5,No,Male,32,College,6
Public,9,9,10,27,16,15,8,8,13,10,5,No,Male,33,College,6
Public,8,6,5,27,14,9,8,12,12,8,4,No,Female,40,College,11
Public,10,5,7,29,16,10,9,9,15,10,4,No,Female,39,College,15
Public,8,8,6,22,12,6,8,9,10,6,3,No,Male,40,College,10
Public,10,10,7,25,14,5,10,6,13,8,4,No,Male,43,College,10
Public,8,4,8,26,11,10,8,7,14,7,2,No,Male,32,College,5
Public,9,6,7,22,13,12,6,9,12,8,4,No,Male,48,College,16
Public,8,7,8,19,16,10,9,9,11,6,3,No,,40,College,13
Public,9,6,7,21,13,13,8,9,12,6,3,No,Male,45,College,20
Public,6,8,10,29,15,15,7,11,14,8,3,No,Female,38,College,17
Public,8,7,9,25,16,9,4,12,15,8,3,No,Male,36,College,6
Public,9,9,9,28,17,15,8,12,15,10,5,No,Male,41,College,10
Public,10,10,10,29,20,15,3,13,15,10,5,No,Male,39,College,14
Public,8,9,9,26,13,9,6,11,11,8,4,No,Female,40,High,20
Public,10,8,8,26,14,12,9,9,10,8,3,No,Male,40,College,17
Public,10,7,6,27,16,13,6,11,15,10,5,No,Male,38,College,5
Public,10,7,10,29,17,12,8,7,14,8,4,No,Male,42,College,12
Public,10,6,7,19,12,9,9,7,10,6,3,No,Female,39,High,18
Public,6,6,6,18,12,9,6,9,9,6,3,No,Female,34,College,11
Public,8,6,4,27,16,9,8,6,13,6,4,No,Female,27,College,1
Public,8,6,4,26,16,11,8,9,13,8,4,No,Male,28,High,5
Public,7,4,2,18,13,9,7,10,10,8,2,Yes,Female,31,College,4
Public,10,7,6,,16,10,6,9,10,8,2,No,Female,44,College,22
Public,9,8,7,21,16,9,8,11,14,10,5,No,Male,43,College,18
Public,9,8,7,28,15,12,8,12,14,10,5,No,Male,44,College,23
Public,9,8,7,28,18,12,10,6,15,10,4,No,Male,42,College,22
Public,8,7,5,23,14,6,8,7,12,8,4,No,Male,46,College,21
Public,10,10,6,29,20,15,7,15,15,10,5,No,Male,47,College,25
Public,10,9,8,30,20,15,5,15,15,10,5,No,Male,50,College,22
Public,10,4,7,18,13,10,10,6,12,8,2,No,Male,36,College,12
Public,10,8,8,27,19,11,10,8,15,10,5,No,Male,54,Graduate school,25
Public,9,6,7,21,18,10,9,9,15,8,4,No,Male,44,College,21
Public,7,7,,17,,8,6,6,10,7,3,No,Male,50,Graduate school,
Public,8,8,7,26,19,11,6,12,15,10,4,No,Male,38,College,13
Public,9,4,5,23,15,9,8,9,12,8,3,No,Male,43,College,23
Public,7,7,7,23,16,11,8,8,10,6,3,No,Male,43,College,11
Public,9,10,7,29,17,15,8,9,14,8,4,No,Male,46,College,21
Public,6,6,7,21,15,10,6,10,10,7,3,No,Male,41,College,15
Public,9,6,7,24,14,10,8,9,12,8,4,No,Male,51,College,21
Public,4,6,6,11,8,12,9,7,9,6,3,Yes,Male,43,College,7
Public,10,8,6,27,17,15,7,12,15,10,5,No,Male,41,College,16
Public,10,7,7,22,18,11,8,11,15,8,4,No,Male,42,College,16
Public,10,8,5,30,17,12,9,15,12,8,4,No,Male,46,Graduate school,20
Public,8,6,4,18,12,10,9,9,12,6,3,No,Male,41,College,10
Public,9,8,8,24,16,12,8,12,12,8,4,No,Male,40,Graduate school,14
Public,6,5,4,19,12,10,7,5,14,6,3,No,Male,44,College,19
Public,9,6,5,23,17,12,8,8,15,10,3,No,Male,48,College,22
Public,8,6,5,24,11,10,8,7,11,5,3,No,Female,47,College,20
Public,10,7,2,22,12,5,10,5,12,6,3,No,Male,37,College,12
Public,9,8,8,26,14,10,4,12,11,8,2,No,Female,38,College,10
Public,9,5,4,19,14,9,8,9,15,7,4,No,Male,45,College,21
Public,8,7,4,18,13,11,8,11,12,8,4,No,Female,37,College,15
Public,10,7,2,22,12,5,10,5,12,6,3,No,Female,47,College,20
Public,7,7,7,24,14,10,4,10,11,8,3,No,Female,38,College,17
Public,8,6,7,18,13,9,7,9,13,8,3,No,Female,42,College,20
Public,10,7,7,25,15,9,4,12,15,8,3,No,Male,48,College,21
Public,8,6,7,24,15,10,8,9,13,8,4,No,Female,36,Graduate school,9
Public,7,6,7,19,12,13,7,8,10,6,4,No,Male,27,College,1
Public,9,7,5,17,14,12,6,6,12,6,4,No,Male,52,College,30
Public,10,9,7,22,15,12,7,12,14,7,3,No,Male,51,College,20
Public,8,6,6,21,16,10,6,12,12,8,3,No,Male,44,College,19
Public,9,6,6,23,14,9,8,12,12,8,4,No,Male,49,College,25
Public,8,8,7,24,16,12,5,12,12,8,4,No,Male,48,College,18
Public,8,8,8,27,16,12,7,14,15,10,4,No,Male,36,College,2
Public,8,6,7,22,12,9,10,14,11,8,2,No,Male,34,College,10
Public,9,9,8,21,14,10,4,12,12,8,4,No,Male,46,College,20
Public,10,6,3,21,16,8,6,8,12,6,3,No,Male,44,College,
Public,10,8,6,24,17,9,4,12,12,8,4,No,Male,49,College,22
Public,9,6,6,18,16,13,10,10,13,8,3,No,Male,43,College,15
Public,9,6,6,24,15,9,6,11,9,6,3,No,Male,41,College,11
Public,8,5,4,18,10,8,6,6,7,6,3,No,Male,29,College,3
Public,8,8,4,20,11,7,6,9,12,8,3,No,Female,41,College,6
Public,10,7,5,20,15,12,9,9,14,10,3,No,Female,47,College,22
Public,8,5,4,18,15,10,6,6,12,4,4,No,Female,42,College,16
Public,8,8,4,29,15,8,6,6,15,4,4,No,Female,32,College,9
Public,10,8,5,23,19,12,9,10,15,8,3,No,Male,28,College,1
Public,10,6,3,26,13,9,10,5,14,5,3,No,Female,28,College,2
Public,9,7,4,22,17,10,10,6,14,7,2,No,Female,34,College,12
Public,9,5,3,19,13,5,5,7,8,7,3,No,Female,35,College,11
Public,10,9,8,25,15,12,6,12,13,8,4,No,Female,55,College,30
Public,6,4,6,23,13,10,8,9,11,5,2,No,Female,37,College,10
Public,10,7,6,25,15,10,8,9,12,6,3,No,Male,33,College,6
Public,7,6,3,19,14,9,8,4,10,7,3,No,Female,44,College,15
Public,10,7,6,19,16,11,9,6,14,8,3,No,Female,43,College,22
Public,9,7,5,22,16,6,10,5,13,2,4,No,Female,35,High,14
Public,9,7,4,27,18,14,10,9,14,8,4,No,Female,28,College,1
Public,8,9,7,24,18,11,5,11,12,9,4,No,Female,40,College,20
Public,10,9,5,19,17,11,10,10,15,8,5,No,Female,51,Graduate school,29
Public,10,7,8,17,13,12,8,7,10,8,2,No,Female,40,College,18
Public,8,3,8,29,15,11,10,7,10,7,4,No,Female,32,College,10
Public,8,5,6,19,16,12,10,6,14,8,4,No,Female,45,College,21
Public,10,7,2,19,16,11,8,6,11,7,3,No,Female,35,Graduate school,9
Public,10,6,7,25,14,7,6,6,12,6,3,No,Female,43,College,22
Public,10,9,7,28,19,14,7,12,15,10,4,No,Female,48,Graduate school,2
Public,7,3,4,18,11,7,6,6,10,4,2,Yes,Female,31,College,5
Public,10,6,3,18,17,13,10,4,12,8,4,No,Female,27,College,2
Public,9,4,4,18,13,8,9,9,10,8,2,No,Female,26,College,4
Public,8,7,7,22,13,12,6,15,11,6,4,Yes,Male,55,College,30
Public,6,6,6,23,14,9,4,11,9,6,3,No,Female,29,College,1
Public,8,8,8,24,15,12,7,12,11,8,4,No,Male,32,College,10
Public,8,5,4,21,18,9,8,11,14,7,4,No,Female,47,Graduate school,24
Public,6,6,8,19,12,12,8,9,9,5,3,No,Male,33,College,8
Public,8,6,8,24,14,12,9,12,14,8,4,No,Female,39,College,18
Public,7,6,6,21,16,15,7,9,13,6,3,Yes,Male,52,Graduate school,27
Public,9,7,5,20,14,12,9,9,12,6,4,Yes,Male,54,College,25
Public,8,8,8,24,16,11,5,12,12,8,4,No,Female,34,College,8
Public,8,6,6,17,12,9,10,9,15,8,3,No,Female,35,College,10
Public,8,6,7,22,15,9,7,9,11,6,4,No,Male,40,Graduate school,10
Public,10,10,8,29,18,14,6,14,15,10,5,No,Male,57,College,26
Public,10,8,8,24,13,9,8,12,13,6,4,No,Female,42,College,10
Public,7,7,7,20,12,10,6,8,8,6,3,No,Male,32,College,7
Public,6,5,7,22,15,9,7,9,10,6,3,No,Male,40,College,11
Public,10,9,8,24,17,14,8,11,14,7,4,No,Female,27,College,1
Public,9,6,7,22,15,12,9,8,11,7,2,No,Female,37,Graduate school,11
Public,8,6,4,14,16,12,6,6,7,7,3,Yes,Male,38,College,15
Public,10,9,6,24,13,10,4,11,15,9,4,No,Female,33,College,8
Public,8,7,6,28,12,9,4,6,9,6,3,No,Female,41,College,18
Public,9,7,5,24,14,9,6,12,12,8,4,No,Female,36,Graduate school,3
Public,8,6,6,20,14,9,8,10,11,6,3,No,Female,47,Graduate school,23
Public,7,9,5,22,19,12,8,9,15,8,4,No,Male,45,Graduate school,20
Public,8,8,6,27,15,10,7,11,12,8,4,No,Female,34,College,8
Public,7,6,6,24,13,9,10,11,12,7,4,No,Female,39,College,20
Public,6,7,7,22,13,9,6,10,12,7,4,No,Female,46,College,20
Public,8,5,4,18,15,12,8,7,13,7,3,No,Male,48,High,25
Public,10,6,6,24,17,12,8,11,13,8,3,No,Female,46,College,23
Public,8,8,6,24,15,10,8,12,11,9,5,No,Male,36,Graduate school,12
Public,5,5,4,21,11,11,4,13,11,7,4,No,Female,42,High,22
Public,10,6,6,17,13,9,8,6,12,8,4,No,Male,47,Graduate school,24
Public,8,7,6,18,12,9,6,9,12,8,4,No,Female,47,College,23
Public,10,9,7,23,17,13,7,9,15,9,5,No,Female,46,College,21
Public,7,8,9,28,17,12,8,12,13,8,4,No,Male,57,College,22
Public,7,5,5,16,14,10,6,10,9,4,3,No,Female,42,College,22
Public,8,6,5,18,13,8,8,8,11,6,3,No,Female,42,Graduate school,18
Public,8,7,8,21,15,10,8,10,12,8,4,No,Male,39,College,6
Public,10,8,7,22,14,14,6,13,15,8,5,No,Female,27,Graduate school,1
Public,10,8,8,30,16,9,7,11,12,8,4,No,Female,29,College,3
Public,8,7,4,22,16,9,7,9,13,8,3,No,Female,52,College,30
Public,9,5,5,22,11,10,6,10,12,6,2,Yes,Female,31,College,5
Public,9,8,6,27,15,9,8,9,12,8,3,No,Male,35,College,6
Public,10,6,6,15,15,9,7,9,15,10,5,No,Female,34,College,9
Public,8,8,8,18,12,9,8,9,11,6,3,No,Male,45,College,20
Public,9,7,9,23,14,9,6,11,9,6,3,No,Female,52,College,26
Public,8,5,7,19,15,11,8,9,12,7,3,Yes,Female,26,Graduate school,3
Public,10,6,7,26,16,12,7,12,15,10,5,No,Female,33,College,9
Public,5,5,7,19,14,8,5,9,8,7,3,No,Male,39,College,10
Public,9,6,6,18,12,9,6,9,9,6,3,Yes,Female,43,College,19
Public,6,7,5,21,14,8,8,10,11,6,3,No,Female,42,College,10
Public,9,4,4,23,14,9,8,5,12,4,3,No,Female,45,College,21
Public,7,4,5,18,13,12,9,4,11,8,3,No,Female,30,College,6
Public,8,5,6,17,12,10,10,8,11,6,3,Yes,Female,31,College,5
Public,6,6,6,18,12,9,7,6,9,6,3,No,Female,45,High,22
Public,9,8,4,18,17,5,6,6,14,8,4,No,Male,43,Graduate school,13
Public,10,9,9,30,18,11,10,9,15,10,4,No,Female,26,College,1
Public,8,5,7,19,14,9,9,3,11,6,3,No,Female,27,College,2
Public,9,7,7,25,18,13,9,8,14,8,4,No,Male,49,College,24
Public,9,4,4,17,12,9,4,9,9,6,3,No,Male,34,College,2
Public,9,5,5,19,14,8,10,3,13,4,4,No,Male,39,College,9
Public,10,6,8,26,16,12,9,10,11,8,3,No,Female,30,College,3
Public,10,6,9,21,16,12,8,7,14,8,3,No,Male,44,College,19
Public,10,5,8,21,15,12,8,9,11,6,3,No,Male,35,College,8
Public,10,10,8,29,19,14,10,13,15,8,3,No,Female,45,Graduate school,10
Public,8,8,9,20,13,9,9,6,12,8,4,No,Male,34,College,10
Public,8,8,6,23,14,9,8,9,11,8,3,No,Female,29,College,4
Public,9,7,4,25,15,6,10,6,13,6,2,Yes,Male,28,College,1
Public,10,9,9,30,15,12,8,13,14,10,5,Yes,Male,37,College,9
Public,5,5,5,20,16,9,8,8,12,6,2,Yes,Female,28,College,1
Public,9,6,7,26,16,12,7,7,12,8,3,No,Male,45,Graduate school,18
Public,9,7,7,23,18,11,10,6,13,8,4,No,Male,34,College,7
Public,10,10,6,27,19,15,10,10,15,10,4,No,Male,40,Graduate school,13
Public,10,7,4,22,14,11,10,9,12,7,4,No,Male,36,College,8
Public,6,6,5,16,15,10,8,4,9,6,2,Yes,Female,31,Graduate school,5
Public,8,9,6,24,15,10,8,12,13,8,4,Yes,Female,41,College,8
Public,8,6,6,24,,12,6,9,11,6,4,No,Female,33,Graduate school,6
Public,8,7,7,24,16,11,9,9,12,8,4,No,Male,37,Graduate school,10
Public,8,7,6,25,15,10,8,12,11,8,3,No,Male,28,College,2
Public,10,10,9,30,18,15,8,15,15,10,4,No,Male,39,College,9
Public,9,5,8,25,16,12,8,7,12,7,,No,Male,51,College,26
Public,10,6,4,16,15,12,9,5,14,7,3,No,Male,50,College,20
Public,8,8,8,25,14,12,9,11,12,8,4,No,Female,45,Graduate school,24
Public,10,6,6,24,16,12,7,9,12,8,3,No,Female,42,College,15
Public,6,8,7,28,13,11,10,11,11,6,3,No,Female,26,College,1
Public,9,7,6,23,15,12,8,9,12,8,3,No,Male,35,College,8
Public,8,8,6,22,14,9,7,11,11,8,4,No,Female,41,College,9
Public,10,4,5,27,12,11,8,10,13,8,2,No,Female,45,College,19
Public,6,5,6,18,12,9,7,9,9,6,3,No,Male,43,College,15
Public,8,6,6,24,12,9,8,9,9,6,3,Yes,Male,32,College,2
Public,6,5,5,21,14,7,10,3,10,6,4,No,Male,48,College,23
Public,6,8,6,21,13,9,10,6,12,8,4,No,Female,45,College,20
Public,7,7,7,22,15,10,8,12,12,6,4,No,Male,43,College,15
Public,9,8,6,24,14,12,8,10,11,8,5,No,Male,45,College,14
Public,9,10,8,29,16,12,7,14,14,10,5,No,Male,40,College,11
Public,10,7,8,29,15,13,8,12,15,9,4,No,Male,33,College,7
Public,8,7,9,28,15,12,8,14,12,8,4,No,Male,44,Graduate school,
Public,9,9,8,27,17,12,5,15,12,10,5,No,Male,35,College,8
Public,9,9,7,20,17,9,9,11,13,8,4,No,Male,38,Graduate school,10
Public,10,10,8,30,19,15,4,15,15,10,5,No,Male,49,College,19
Public,9,8,7,25,18,12,8,11,15,8,4,No,Female,26,College,1
Public,10,6,5,24,15,12,7,11,14,6,4,No,Male,42,Graduate school,2
Public,10,9,8,29,18,15,6,15,15,8,4,No,Male,54,Graduate school,30
Public,9,8,9,25,13,12,8,9,12,8,4,No,Male,47,College,21
Public,10,10,10,30,19,15,10,15,15,10,5,No,Male,44,College,11
Public,10,10,10,27,17,15,6,13,15,8,4,No,Male,37,Graduate school,9
Public,10,6,6,21,17,9,8,11,13,7,4,No,Female,27,College,1
Public,6,8,8,23,12,14,6,13,12,8,4,No,Male,26,College,1
Public,10,10,10,30,16,12,8,13,15,10,5,No,Male,45,High,10
Public,10,7,8,24,15,12,6,12,12,8,3,No,Male,37,College,10
Public,10,6,5,18,17,12,8,5,12,8,4,No,Male,49,Graduate school,15
Public,10,5,6,26,15,6,10,8,15,9,5,No,Male,43,College,17
Public,10,8,10,29,17,12,10,12,15,10,5,No,Male,50,Graduate school,21
Public,7,9,8,23,17,10,8,12,13,8,4,No,Male,28,College,2
Public,10,8,6,29,15,12,10,11,12,9,4,No,Male,39,College,6
Public,10,8,7,30,20,12,8,12,12,8,5,No,Male,42,College,13
Public,10,6,2,28,18,10,10,5,12,7,4,Yes,Male,38,Graduate school,12
Public,10,7,4,21,15,12,9,12,11,8,3,No,Male,36,College,8
Public,6,8,6,22,14,9,6,9,11,6,3,Yes,Female,28,College,4
Public,8,7,6,18,14,10,7,9,11,6,3,No,Male,46,College,20
Public,10,8,9,23,14,12,5,12,12,8,5,No,Male,48,College,19
Public,9,8,7,25,17,7,6,12,13,8,4,No,Female,35,College,10
Public,10,8,8,16,14,10,4,12,12,8,5,No,Male,51,College,21
Public,9,7,6,25,14,11,6,9,12,8,3,No,Female,30,College,4
Public,10,3,3,10,15,11,9,6,10,6,3,No,Male,40,Graduate school,11
Public,7,7,6,21,17,9,6,12,11,8,1,No,Female,37,College,11
Public,7,6,7,19,15,12,8,11,12,8,3,No,Male,46,College,18
Public,8,3,3,20,13,11,8,3,12,8,4,No,Male,41,College,10
Public,9,7,6,20,13,10,4,10,10,8,3,No,Male,40,College,15
Public,10,7,4,15,13,8,7,9,11,8,2,No,Male,40,College,2
Public,8,10,6,28,18,13,7,14,14,8,4,No,Female,32,College,8
Public,9,6,6,21,15,9,4,8,11,6,3,No,Female,42,College,20
Public,10,10,5,19,17,12,4,12,12,7,4,No,Male,42,College,18
Public,9,8,8,25,16,12,5,9,15,9,4,No,Male,43,College,8
Public,10,8,7,23,18,10,10,12,15,8,4,No,Male,43,College,15
Public,10,7,6,30,20,11,7,11,14,8,4,No,Male,44,College,21
Public,8,9,6,20,13,10,5,11,11,8,3,No,Male,41,College,17
Public,10,8,8,30,20,15,4,15,15,10,5,No,Male,43,College,8
Public,10,8,6,21,15,10,6,10,12,7,4,No,Male,43,College,10
Public,10,9,9,29,18,12,8,13,15,9,5,No,Male,53,College,27
Public,8,6,6,22,17,10,7,10,12,8,4,No,Male,32,College,7
Public,10,8,7,27,16,9,7,9,12,8,4,No,Female,33,College,6
Public,7,7,8,23,15,11,6,12,10,7,4,No,Female,47,High,28
Public,8,5,5,23,16,12,6,9,11,8,4,No,Female,35,College,8
Public,10,6,7,19,14,12,6,12,12,6,4,No,Male,41,College,14
Public,10,7,6,22,15,10,7,9,13,8,2,No,Female,36,College,5
Public,7,8,7,30,14,11,5,14,11,10,4,No,Female,42,High,18
Public,10,9,8,24,17,12,4,15,15,10,5,No,Male,45,High,21
Public,8,6,6,21,17,15,6,9,15,6,3,No,Male,28,College,4
Public,10,8,6,24,19,9,6,12,12,7,3,No,Female,52,High,28
Public,8,7,7,19,16,10,10,10,12,8,4,Yes,Female,43,College,23
Public,8,6,4,12,15,13,10,9,15,10,4,No,Female,38,College,15
Public,8,5,5,21,15,10,6,12,10,6,3,No,Male,57,College,37
Public,9,6,7,21,16,12,6,12,12,9,4,No,Male,33,College,6
Public,9,10,10,23,15,13,7,12,12,8,4,No,Male,33,College,10
Public,9,9,6,23,15,10,9,11,12,10,4,No,Female,32,College,2
Public,6,7,5,19,15,8,4,12,11,8,4,No,Female,33,College,8
Public,9,6,8,24,19,15,10,12,15,10,4,No,Female,36,College,10
Public,8,8,6,29,19,11,4,12,13,8,4,No,Female,28,College,5
Public,9,8,8,23,16,12,4,12,15,8,4,No,Male,33,College,6
Public,8,8,7,26,16,12,5,12,11,8,3,No,Male,50,Graduate school,25
Public,9,7,5,22,14,9,6,12,13,8,4,No,Female,53,High,29
Public,8,8,5,28,13,12,10,11,11,8,4,Yes,Male,31,College,5
Public,10,5,5,27,17,12,7,11,12,8,4,No,Female,43,Graduate school,13
Public,6,6,5,16,9,9,6,8,11,4,2,No,Female,28,College,6
Public,10,6,8,26,15,15,8,9,11,8,4,No,Male,54,Graduate school,31
Public,8,7,6,19,13,9,10,9,11,7,3,No,Male,46,High,20
Public,9,8,10,29,16,12,5,11,12,8,4,No,Female,23,College,2
Public,7,7,6,23,15,9,10,10,13,8,4,No,Male,37,Graduate school,9
Public,10,6,6,18,13,9,6,9,12,6,3,No,Male,45,College,15
Public,6,7,8,25,15,14,8,8,13,8,3,No,Male,25,College,2
Public,8,7,9,23,16,8,10,10,14,10,4,No,Male,30,College,3
Public,8,7,5,20,12,8,10,9,9,8,4,Yes,Male,36,Graduate school,4
Public,8,10,10,26,15,10,9,10,12,8,2,No,Female,35,College,10
Public,9,7,8,28,17,12,8,9,13,9,4,No,Male,40,Graduate school,15
Public,10,10,10,30,20,15,6,12,15,10,5,No,Male,38,Graduate school,10
Public,8,8,7,24,14,11,7,12,11,8,4,No,Male,40,College,14
Public,9,8,7,23,15,10,10,8,13,8,4,No,Male,45,College,17
Public,9,8,6,28,15,9,7,12,12,8,4,No,Female,41,College,20
Public,10,8,8,24,11,10,6,10,9,6,3,No,Female,30,College,10
Public,8,5,4,13,16,9,8,9,12,8,4,No,Male,42,Graduate school,10
Public,10,8,8,25,15,12,7,12,13,8,4,No,Male,32,Graduate school,6
Public,9,7,7,28,17,11,7,13,11,7,4,No,Female,35,College,10
Public,10,10,8,24,18,12,10,8,15,8,4,No,Male,40,College,16
Public,10,9,8,29,16,13,7,13,15,10,4,No,Male,39,College,10
Public,10,10,10,28,16,15,10,15,15,10,4,No,Male,35,College,6
Public,10,9,10,30,19,15,10,12,15,10,5,No,Male,46,College,25
Public,8,6,6,24,12,10,6,12,12,8,3,No,Female,30,College,7
Public,10,8,7,21,16,10,10,6,15,9,3,No,Male,32,College,5
Public,10,9,10,30,15,12,10,12,12,8,5,No,Male,44,College,18
Public,6,4,3,18,14,9,10,6,8,6,2,No,Female,28,College,7
Public,10,9,9,30,18,15,6,15,15,10,5,No,Male,37,College,7
Public,9,6,6,24,16,10,10,10,12,7,4,No,Male,38,College,12
Public,10,9,8,30,19,14,4,12,15,10,4,No,Male,49,College,24
Public,10,9,9,29,13,14,8,12,15,8,4,No,Male,35,College,14
Public,10,6,4,25,17,13,8,7,13,8,4,No,Male,35,College,8
Public,8,6,8,24,13,12,6,9,10,8,4,No,Male,31,College,6
Public,10,8,8,30,19,15,9,14,15,10,5,No,Male,39,College,7
Public,9,5,4,18,11,9,10,6,10,6,3,No,Male,37,College,13
Public,7,6,6,18,16,9,8,9,12,8,4,No,Male,31,College,6
Public,10,9,8,30,19,12,3,15,15,10,5,No,Male,33,College,8
Public,10,9,8,27,18,13,6,12,14,10,4,No,Female,31,College,8
Public,10,7,5,21,15,9,9,11,11,6,3,No,Female,34,College,7
Public,9,9,9,29,18,15,8,12,14,10,5,No,Male,37,College,7
Public,10,8,7,29,16,12,10,9,12,8,4,No,Male,36,College,5
Public,10,10,8,24,17,9,10,11,12,10,4,No,Male,38,College,17
Public,10,7,10,29,20,14,8,12,15,10,5,No,Male,38,College,6
Public,8,5,5,20,14,7,4,9,12,6,4,No,Female,40,College,18
Public,8,5,5,19,14,7,4,10,12,6,4,No,Male,38,College,14
Public,10,9,7,22,14,9,10,9,15,6,3,No,Male,43,Graduate school,18
Public,10,9,7,23,,9,10,9,15,6,3,No,Male,40,College,12
Public,10,9,8,24,16,12,8,12,14,8,4,No,Male,55,Graduate school,20
Public,10,8,8,30,17,15,10,9,4,4,4,No,Male,48,College,18
Public,7,6,7,28,15,11,5,14,15,10,5,No,Male,54,College,30
Public,10,6,4,15,17,11,8,8,12,6,3,No,Male,42,Graduate school,10
Public,9,5,4,18,17,12,6,7,15,6,5,No,Male,55,College,26
Public,8,7,8,27,9,12,10,13,10,7,4,No,Male,43,College,15
Public,9,6,5,20,14,8,7,6,12,6,4,No,Female,41,College,18
Public,10,6,6,23,14,10,10,4,11,5,2,No,Male,42,College,11
Public,10,8,8,24,14,12,8,12,12,8,4,No,Female,34,College,8
Public,10,7,5,15,16,11,10,5,15,6,3,No,Female,40,Graduate school,10
Public,6,8,6,20,12,3,10,10,9,2,3,Yes,Female,29,College,6
Public,10,7,8,23,17,9,7,11,15,9,4,No,Female,30,College,4
Public,8,8,8,25,11,11,8,13,8,7,2,No,Male,28,College,2
Public,8,8,8,24,14,12,8,12,12,8,4,No,Female,30,College,4
Public,8,6,10,22,15,9,8,12,9,6,4,No,Male,28,College,4
Public,8,9,8,19,11,7,5,9,7,4,4,No,Female,35,College,5
Public,10,6,4,15,14,12,10,6,15,8,3,No,Female,25,Graduate school,2
Public,8,8,8,24,18,12,8,9,12,8,4,No,Male,36,High,
Public,8,6,6,22,14,11,6,12,12,4,4,No,Male,49,College,26
Public,10,9,9,26,17,14,6,12,15,8,4,No,Male,51,Graduate school,25
Public,8,6,6,26,14,10,2,12,13,10,5,No,Female,30,College,9
Public,10,10,10,21,15,15,6,9,15,6,2,No,Male,56,College,32
